id_topic,tweet_id,author_id,text,lang,loc
1376838979295662090_COVID19,1376838979295662090,1365917534621298693,@ANI Lagta hai Bengal me corona nahi aya telanga me 5 log se zyada jama hune par jurmana hai MP me lock down,in,NOT Recognized
1376837206292111364_COVID19,1376837206292111364,47938611,@theskindoctor13 @akshaykumar https://t.co/rSrQ9PPpnI,und,NOT Recognized
1376856487813767170_COVID19,1376856487813767170,1207877391575633920,"@TelanganaCMO Bengal
Kerala
Tamilnadu
Assam
Pondicherry
Why not corona efacttat",in,NOT Recognized
1376855618477232128_COVID19,1376855618477232128,75566265,@timesofindia Bengal mei corona nahi hai? Ya jab tak elections hai tab tak nahi hai?,in,NOT Recognized
1376853511959240706_COVID19,1376853511959240706,2474114197,@PTI_News Amit Shah ko bhi bolo mask pehen le. Aaj ki rally  Bengal mein toh corona is on leave it seems.,in,NOT Recognized
1376848470011695107_COVID19,1376848470011695107,2909858340,@AmitShah Sirji.. Ahi #CoronaOnHalt  Corona Halt pr hai bengal me? @WHO @PMOIndia ??,in,NOT Recognized
1376858105015767040_COVID19,1376858105015767040,1267031568,"Kya West Bengal, Kerala mein Covid-19 ka koi asar nahin h. Iss baat se samj lo, ki covid-19 kiski dein h. Khud PM CM badi badi rallies mein bhasan de rahe h. Iska kya matlab. 🤔🤔🤔🤔🤔",in,NOT Recognized
1376854216577269760_COVID19,1376854216577269760,1254698156366929921,@sambitswaraj @AmitShah Hello Sambit and Home Minister.... West Bengal mein Covid ka khatra nahi hai kya ??? Ya vaha ki hawa mein hi vaccine hai ?,et,NOT Recognized
1376838854523559936_COVID19,1376838854523559936,1195292599520616448,"بنگال میں انتخابی مہم کی وجہ سے کورونا وائرس کے پھیلنے کا خدشہ
#health
#covid
#bengal.
https://t.co/xiGkYWRP9C https://t.co/FCbEkANDnj",ur,NOT Recognized
1376838798558986246_COVID19,1376838798558986246,1200000895146029057,"بنگال میں انتخابی مہم کی وجہ سے کورونا وائرس کے پھیلنے کا خدشہ
#health
#covid
#bengal.
https://t.co/iURsgb8pe1 https://t.co/YWWuogqwHa",ur,NOT Recognized
